Date,Time,Latitude,Longitude,Altitude (m),Altitude (ft)
2019-01-26,03:35:22,-55.98405099843533,107.47465500555094,8575.90002015233,28136.155822116572
2019-01-26,03:35:27,-55.99350699841581,107.4696269938191,8579.299584026448,28147.309247257333
2019-01-26,03:35:32,-56.00291799949554,107.46446999628218,8582.099628398195,28156.495744833934
2019-01-26,03:35:37,-56.012325001202434,107.45924400383599,8587.200479361229,28173.230820707493
2019-01-26,03:35:42,-56.02173999963885,107.45399500234927,8589.599685208872,28181.102231220677
2019-01-26,03:35:47,-56.0311470022989,107.44871500854859,8591.799692613073,28188.320103512673
2019-01-26,03:35:52,-56.04056200016819,107.44348100875645,8591.700012935326,28187.993070438733
2019-01-26,03:35:57,-56.04998000219078,107.43824000299692,8591.700551069342,28187.994835970338
2019-01-26,03:36:02,-56.059401996126574,107.43299900706405,8589.699899350293,28181.431017784416
2019-01-26,03:36:07,-56.06885499761004,107.42782600376675,8589.099771122448,28179.462093089373
2019-01-26,03:36:12,-56.07829999956739,107.42268400451546,8585.300331614912,28166.996739975468
2019-01-26,03:36:17,-56.087757002216556,107.41756399953141,8587.79970831424,28175.19679502569
2019-01-26,03:36:22,-56.097210003201354,107.41241500825353,8584.5000949651,28164.371291565298
2019-01-26,03:36:27,-56.10667000069379,107.40726500232395,8581.299295926467,28153.86998204739
2019-01-26,03:36:32,-56.11611600195821,107.40203900543872,8579.799630139023,28148.949818545312
2019-01-26,03:36:38,-56.127456999985185,107.39582100231847,8573.400424832478,28127.955049807388
2019-01-26,03:36:43,-56.1369060002559,107.39054900701788,8569.40061258059,28114.832305778902
2019-01-26,03:36:48,-56.14638499779471,107.38531499119875,8565.599438595586,28102.36126212194
2019-01-26,03:36:53,-56.15586899860998,107.38008900572783,8563.200117154978,28094.48947236674
2019-01-26,03:36:58,-56.165348006130415,107.37480199436122,8561.799881668761,28089.89552377414
2019-01-26,03:37:03,-56.17483100245718,107.36953000654371,8560.099940732121,28084.318289551575
2019-01-26,03:37:08,-56.18432999711807,107.36431900164314,8558.900816264562,28080.384154033425
2019-01-26,03:37:13,-56.19384800436344,107.35910799427826,8557.099670874886,28074.47488419316
2019-01-26,03:37:18,-56.203350001109165,107.3538589988678,8557.299509044737,28075.130521254334
2019-01-26,03:37:23,-56.212859999946446,107.34857899854397,8557.89989892859,28077.100304400876
2019-01-26,03:37:28,-56.222381997030794,107.34335300434451,8556.400314569473,28072.18040805211
2019-01-26,03:37:33,-56.231899002019354,107.33809699524028,8553.499772843905,28062.664194737197
2019-01-26,03:37:38,-56.241413002610045,107.33278700417658,8551.099943849258,28054.7907397784
2019-01-26,03:37:43,-56.25093099933512,107.32752199449155,8552.40008244384,28059.05628648505
2019-01-26,03:37:48,-56.26046799942699,107.32229600034768,8550.599597102031,28053.149182156227
2019-01-26,03:37:53,-56.27000400134353,107.31699399559666,8549.09899253212,28048.225938659078
2019-01-26,03:37:59,-56.281429002419074,107.31061599725977,8546.400611353107,28039.372981751727
2019-01-26,03:38:04,-56.29095500288692,107.30529000848479,8544.200451154262,28032.154608164947
2019-01-26,03:38:09,-56.30046099736649,107.2999189934155,8543.900636894628,28031.170965549372
2019-01-26,03:38:14,-56.30997100102226,107.29457099591232,8543.299745584838,28029.19953730456
2019-01-26,03:38:19,-56.31949199704509,107.28926099328478,8543.19992429018,28028.872039608195
2019-01-26,03:38:24,-56.32901399976926,107.28397399903233,8545.000611864962,28034.77980743104
2019-01-26,03:38:29,-56.338562000743224,107.27867100832894,8545.900063498877,28037.730764329655
2019-01-26,03:38:34,-56.34811000208288,107.27334599648691,8546.800183306448,28040.683913399127
2019-01-26,03:38:39,-56.357662000067315,107.26797499845242,8549.699939456768,28050.197549367345
2019-01-26,03:38:44,-56.36722899577755,107.26265699247506,8553.799762452021,28063.648412643088
2019-01-26,03:38:49,-56.37679700309773,107.25734699947269,8554.700542039238,28066.603726344012
2019-01-26,03:38:54,-56.386336995938294,107.2520220042637,8555.000251628458,28067.58702555271
2019-01-26,03:38:59,-56.39589299937691,107.24668899044283,8554.000295291655,28064.306328804672
2019-01-26,03:39:04,-56.405472002202345,107.24136400843042,8551.400488785468,28055.776779626915
